pm10,pm25,co,so2,no2,o3,datatime
58,28,0.5,0.003,0.011,0.045,03
56,27,0.5,0.003,0.010,0.049,02
58,30,0.5,0.003,0.010,0.052,01
57,28,0.5,0.003,0.013,0.050,24
60,32,0.5,0.003,0.015,0.048,23
60,30,0.5,0.003,0.016,0.049,22
69,33,0.6,0.003,0.018,0.050,21
66,34,0.6,0.003,0.019,0.050,20
66,33,0.6,0.003,0.021,0.051,19
58,28,0.5,0.004,0.017,0.054,18
55,28,0.5,0.003,0.016,0.054,17
49,27,0.5,0.003,0.018,0.053,16
46,23,0.5,0.003,0.019,0.051,15
41,20,0.5,0.003,0.020,0.045,14
39,21,0.5,0.003,0.022,0.040,13
39,18,0.5,0.003,0.021,0.040,12
34,17,0.6,0.003,0.024,0.035,11
30,18,0.6,0.003,0.026,0.023,10
24,15,0.5,0.003,0.026,0.015,09
20,11,0.5,0.002,0.026,0.012,08
21,11,0.4,0.003,0.025,0.014,07
20,10,0.4,0.003,0.023,0.011,06
21,13,0.4,0.003,0.019,0.015,05
20,12,0.4,0.003,0.013,0.027,04
18,10,0.4,0.003,0.016,0.021,03
16,9,0.5,0.003,0.023,0.015,02
15,10,0.4,0.003,0.019,0.021,01
14,8,0.5,0.003,0.026,0.014,24
12,7,0.4,0.003,0.022,0.021,23
13,8,0.4,0.003,0.018,0.027,22
14,10,0.4,0.003,0.022,0.026,21
16,11,0.4,0.003,0.024,0.028,20
12,7,0.5,0.003,0.023,0.032,19
12,8,0.4,0.003,0.020,0.038,18
14,10,0.4,0.003,0.017,0.044,17
16,10,0.4,0.003,0.021,0.038,16
13,7,0.4,0.003,0.017,0.037,15
15,9,0.4,0.003,0.017,0.030,14
17,10,0.4,0.003,0.020,0.029,13
14,8,0.4,0.003,0.024,0.023,12
17,9,0.4,0.003,0.024,0.019,11
19,9,0.5,0.003,0.028,0.012,10
23,12,0.4,0.003,0.028,0.010,09
20,9,0.4,0.003,0.030,0.008,08
20,10,0.4,0.003,0.023,0.013,07
18,8,0.4,0.003,0.021,0.016,06
18,10,0.4,0.003,0.016,0.021,05
17,8,0.4,0.003,0.015,0.020,04
17,9,0.4,0.003,0.014,0.025,03
17,6,0.4,0.003,0.013,0.029,02
19,7,0.3,0.002,0.012,0.030,01
12,5,0.3,0.002,0.012,0.027,24
11,6,0.3,0.003,0.011,0.027,23
10,4,0.3,0.003,0.011,0.026,22
12,6,0.3,0.003,0.012,0.026,21
12,7,0.4,0.003,0.012,0.028,20
20,10,0.4,0.003,0.014,0.028,19
19,11,0.4,0.003,0.013,0.029,18
24,14,0.5,0.003,0.013,0.035,17
17,10,0.5,0.003,0.015,0.039,16
16,11,0.6,0.003,0.023,0.025,15
14,9,0.6,0.003,0.030,0.006,14
14,8,0.5,0.002,0.024,0.008,13
7,3,0.5,0.002,0.019,0.011,12
8,3,0.4,0.003,0.018,0.011,11
8,4,0.4,0.003,0.018,0.008,10
7,3,0.4,0.003,0.017,0.008,09
9,5,0.4,0.003,0.017,0.008,08
9,3,0.3,0.003,0.014,0.011,07
9,5,0.3,0.002,0.009,0.016,06
13,6,0.3,0.003,0.008,0.020,05
10,6,0.3,0.003,0.010,0.021,04
12,6,0.3,0.003,0.009,0.026,03
6,3,0.3,0.002,0.007,0.031,02
10,6,0.3,0.003,0.010,0.033,01
6,4,0.3,0.002,0.014,0.033,24
6,3,0.3,0.003,0.017,0.032,23
9,5,0.3,0.003,0.017,0.036,22
12,5,0.4,0.003,0.020,0.034,21
11,8,0.4,0.003,0.018,0.037,20
14,13,0.5,0.003,0.020,0.028,19
19,14,0.6,0.002,0.028,0.013,18
22,18,0.6,0.003,0.028,0.016,17
22,16,0.6,0.003,0.026,0.020,16
26,16,0.6,0.003,0.030,0.017,15
25,18,0.6,0.003,0.027,0.021,14
29,20,0.6,0.003,0.026,0.021,13
28,18,0.6,0.003,0.022,0.022,12
29,18,0.7,0.003,0.027,0.017,11
30,19,0.6,0.003,0.026,0.014,10
30,20,0.6,0.003,0.025,0.012,09
30,20,0.6,0.003,0.023,0.010,08
32,23,0.6,0.003,0.017,0.018,07
32,22,0.6,0.003,0.014,0.017,06
36,23,0.6,0.003,0.017,0.011,05
34,22,0.6,0.003,0.021,0.010,04
36,24,0.6,0.003,0.021,0.011,03
