pm10,pm25,co,so2,no2,o3,datatime
7,7,0.2,0.003,0.009,0.030,17
9,3,0.2,0.003,0.008,0.028,16
24,14,0.2,0.003,0.008,0.024,15
23,15,0.3,0.003,0.016,0.046,14
19,15,0.4,0.003,0.018,0.047,13
17,11,0.3,0.003,0.014,0.044,12
20,17,0.3,0.003,0.015,0.030,11
20,14,0.3,0.003,0.014,0.025,10
20,13,0.3,0.003,0.018,0.017,09
17,12,0.3,0.003,0.016,0.016,08
19,16,0.3,0.002,0.017,0.013,07
18,15,0.3,0.003,0.010,0.021,06
20,16,0.2,0.003,0.007,0.029,05
19,15,0.2,0.003,0.007,0.026,04
20,16,0.2,0.003,0.006,0.030,03
19,15,0.2,0.003,0.006,0.035,02
17,16,0.2,0.003,0.007,0.029,01
16,13,0.2,0.003,0.007,0.028,24
18,13,0.2,0.003,0.010,0.021,23
16,13,0.3,0.003,0.010,0.021,22
19,16,0.3,0.003,0.011,0.024,21
22,18,0.3,0.004,0.013,0.032,20
27,21,0.3,0.004,0.016,0.047,19
30,25,0.3,0.005,0.016,0.063,18
30,24,0.3,0.005,0.015,0.072,17
28,23,0.3,0.004,0.018,0.068,16
27,22,0.3,0.004,0.016,0.074,15
22,18,0.4,0.003,0.016,0.061,14
20,12,0.3,0.004,0.013,0.052,13
19,15,0.3,0.004,0.012,0.041,12
23,18,0.3,0.004,0.015,0.029,11
18,12,0.4,0.003,0.017,0.020,10
22,16,0.4,0.003,0.019,0.014,09
21,14,0.3,0.003,0.017,0.011,08
22,18,0.3,0.003,0.015,0.009,07
22,15,0.3,0.003,0.014,0.009,06
19,15,0.3,0.003,0.012,0.011,05
19,15,0.3,0.003,0.012,0.011,04
20,15,0.3,0.003,0.011,0.013,03
19,14,0.3,0.003,0.014,0.012,02
20,16,0.3,0.003,0.014,0.013,01
20,16,0.3,0.003,0.015,0.013,24
21,17,0.3,0.003,0.020,0.011,23
24,17,0.3,0.003,0.021,0.012,22
25,18,0.3,0.004,0.023,0.015,21
22,17,0.3,0.003,0.021,0.023,20
23,15,0.3,0.004,0.016,0.030,19
25,17,0.3,0.004,0.014,0.041,18
27,18,0.3,0.003,0.013,0.047,17
26,19,0.3,0.004,0.011,0.051,16
28,23,0.3,0.004,0.011,0.058,15
22,16,0.3,0.003,0.011,0.061,14
19,15,0.3,0.003,0.011,0.058,13
20,15,0.3,0.004,0.012,0.046,12
24,14,0.3,0.003,0.013,0.034,11
18,11,0.3,0.004,0.010,0.027,10
15,10,0.4,0.004,0.016,0.016,09
22,13,0.4,0.004,0.024,0.006,08
24,15,0.4,0.003,0.022,0.003,07
22,14,0.4,0.003,0.023,0.003,06
24,14,0.4,0.003,0.024,0.003,05
22,14,0.4,0.003,0.025,0.004,04
19,15,0.4,0.003,0.029,0.003,03
12,9,0.3,0.003,0.019,0.012,02
11,9,0.3,0.003,0.016,0.019,01
13,10,0.3,0.003,0.017,0.019,24
15,12,0.3,0.004,0.018,0.020,23
16,12,0.3,0.003,0.019,0.022,22
16,11,0.4,0.004,0.020,0.024,21
17,13,0.4,0.003,0.023,0.023,20
21,16,0.3,0.003,0.016,0.048,19
14,11,0.3,0.003,0.014,0.048,18
19,16,0.3,0.003,0.012,0.044,17
21,16,0.3,0.003,0.017,0.059,16
21,15,0.3,0.003,0.012,0.061,15
20,16,0.3,0.003,0.016,0.041,14
16,12,0.3,0.003,0.016,0.040,13
16,11,0.3,0.003,0.016,0.034,12
19,13,0.4,0.003,0.021,0.027,11
16,9,0.4,0.003,0.021,0.024,10
15,11,0.4,0.003,0.015,0.025,09
15,8,0.4,0.003,0.017,0.020,08
18,9,0.4,0.003,0.019,0.013,07
18,11,0.4,0.003,0.018,0.013,06
19,12,0.4,0.003,0.016,0.015,05
17,11,0.4,0.003,0.014,0.022,04
19,12,0.4,0.003,0.016,0.020,03
20,13,0.4,0.004,0.018,0.020,02
18,12,0.4,0.004,0.021,0.018,01
15,10,0.4,0.003,0.018,0.028,24
16,12,0.4,0.004,0.021,0.028,23
18,13,0.5,0.004,0.022,0.032,22
20,13,0.4,0.004,0.024,0.038,21
15,11,0.4,0.003,0.021,0.050,20
16,13,0.4,0.003,0.018,0.058,19
14,9,0.4,0.004,0.016,0.058,18
14,11,0.4,0.004,0.017,0.052,17
